class,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41
13,0.0,0.0,0.20512820512820512,-0.1794871794871795,0.48717948717948717,-0.2948717948717949,0.6923076923076923,-0.32051282051282054,0.8589743589743589,-0.38461538461538464,0.3717948717948718,-0.11538461538461539,0.6538461538461539,0.01282051282051282,0.8333333333333334,0.1282051282051282,1.0,0.24358974358974358,0.2948717948717949,0.0641025641025641,0.5897435897435898,0.20512820512820512,0.8076923076923077,0.3076923076923077,1.0,0.3974358974358974,0.21794871794871795,0.20512820512820512,0.47435897435897434,0.32051282051282054,0.6666666666666666,0.4358974358974359,0.8461538461538461,0.5256410256410257,0.15384615384615385,0.32051282051282054,0.34615384615384615,0.4230769230769231,0.47435897435897434,0.47435897435897434,0.6025641025641025,0.5256410256410257
13,0.0,0.0,0.15942028985507245,-0.21739130434782608,0.391304347826087,-0.391304347826087,0.5797101449275363,-0.4927536231884058,0.7101449275362319,-0.5942028985507246,0.3188405797101449,-0.2318840579710145,0.5797101449275363,-0.18840579710144928,0.782608695652174,-0.14492753623188406,0.9420289855072463,-0.08695652173913043,0.2898550724637681,-0.043478260869565216,0.5797101449275363,0.0,0.7971014492753623,0.028985507246376812,1.0,0.07246376811594203,0.2463768115942029,0.11594202898550725,0.4927536231884058,0.15942028985507245,0.6956521739130435,0.18840579710144928,0.8695652173913043,0.21739130434782608,0.2028985507246377,0.2608695652173913,0.391304347826087,0.2898550724637681,0.5217391304347826,0.30434782608695654,0.6521739130434783,0.30434782608695654
13,0.0,0.0,0.11688311688311688,-0.2597402597402597,0.3116883116883117,-0.5194805194805194,0.4805194805194805,-0.7012987012987013,0.5844155844155844,-0.8571428571428571,0.2597402597402597,-0.3246753246753247,0.5324675324675324,-0.37662337662337664,0.7402597402597403,-0.38961038961038963,0.935064935064935,-0.4025974025974026,0.2597402597402597,-0.12987012987012986,0.5714285714285714,-0.16883116883116883,0.8051948051948052,-0.22077922077922077,1.0,-0.2597402597402597,0.2597402597402597,0.06493506493506493,0.5064935064935064,0.012987012987012988,0.7142857142857143,-0.012987012987012988,0.8831168831168831,-0.06493506493506493,0.24675324675324675,0.23376623376623376,0.44155844155844154,0.2077922077922078,0.5714285714285714,0.18181818181818182,0.6883116883116883,0.12987012987012986
13,0.0,0.0,0.2125,-0.175,0.475,-0.2875,0.675,-0.3125,0.825,-0.3875,0.3875,-0.1125,0.65,0.0125,0.8375,0.125,1.0,0.225,0.3125,0.0625,0.5875,0.2,0.7875,0.3,0.9625,0.3875,0.225,0.2125,0.4625,0.3125,0.6375,0.425,0.8125,0.5,0.1625,0.325,0.3375,0.4125,0.45,0.475,0.575,0.5125
13,0.0,0.0,0.15942028985507245,-0.21739130434782608,0.391304347826087,-0.391304347826087,0.5797101449275363,-0.4927536231884058,0.7101449275362319,-0.5942028985507246,0.3188405797101449,-0.21739130434782608,0.5797101449275363,-0.18840579710144928,0.782608695652174,-0.14492753623188406,0.9420289855072463,-0.08695652173913043,0.2753623188405797,-0.043478260869565216,0.5797101449275363,0.0,0.7971014492753623,0.028985507246376812,1.0,0.07246376811594203,0.2463768115942029,0.11594202898550725,0.4927536231884058,0.15942028985507245,0.6956521739130435,0.18840579710144928,0.8695652173913043,0.21739130434782608,0.2028985507246377,0.2608695652173913,0.391304347826087,0.2898550724637681,0.5217391304347826,0.30434782608695654,0.6521739130434783,0.30434782608695654
13,0.0,0.0,0.10526315789473684,-0.2631578947368421,0.3157894736842105,-0.5394736842105263,0.47368421052631576,-0.7105263157894737,0.5789473684210527,-0.868421052631579,0.25,-0.32894736842105265,0.5263157894736842,-0.3815789473684211,0.7368421052631579,-0.39473684210526316,0.9210526315789473,-0.39473684210526316,0.25,-0.13157894736842105,0.5657894736842105,-0.17105263157894737,0.8026315789473685,-0.2236842105263158,1.0,-0.2631578947368421,0.25,0.06578947368421052,0.5,0.013157894736842105,0.7105263157894737,-0.013157894736842105,0.881578947368421,-0.06578947368421052,0.23684210526315788,0.23684210526315788,0.4342105263157895,0.21052631578947367,0.5657894736842105,0.18421052631578946,0.6842105263157895,0.13157894736842105
13,0.0,0.0,0.2125,-0.175,0.475,-0.2875,0.675,-0.3125,0.825,-0.375,0.4,-0.1125,0.6625,0.0125,0.85,0.1125,1.0,0.225,0.325,0.0625,0.6,0.2,0.8,0.3,0.975,0.3875,0.2375,0.2,0.475,0.3125,0.65,0.425,0.825,0.5125,0.1625,0.325,0.325,0.4125,0.45,0.475,0.575,0.5125
13,0.0,0.0,-0.1951219512195122,-0.17073170731707318,-0.45121951219512196,-0.25609756097560976,-0.6707317073170732,-0.32926829268292684,-0.8292682926829268,-0.36585365853658536,-0.4146341463414634,-0.08536585365853659,-0.7073170731707317,0.024390243902439025,-0.8780487804878049,0.12195121951219512,-1.0,0.21951219512195122,-0.35365853658536583,0.08536585365853659,-0.6463414634146342,0.1951219512195122,-0.8414634146341463,0.2926829268292683,-0.9878048780487805,0.3780487804878049,-0.2926829268292683,0.23170731707317074,-0.5609756097560976,0.32926829268292684,-0.7439024390243902,0.4024390243902439,-0.8902439024390244,0.47560975609756095,-0.24390243902439024,0.35365853658536583,-0.43902439024390244,0.4024390243902439,-0.5609756097560976,0.45121951219512196,-0.6829268292682927,0.5
13,0.0,0.0,-0.08974358974358974,-0.2564102564102564,-0.28205128205128205,-0.5128205128205128,-0.44871794871794873,-0.7307692307692307,-0.5897435897435898,-0.8717948717948718,-0.2692307692307692,-0.34615384615384615,-0.5897435897435898,-0.4230769230769231,-0.782051282051282,-0.44871794871794873,-0.9487179487179487,-0.44871794871794873,-0.2948717948717949,-0.14102564102564102,-0.6025641025641025,-0.23076923076923078,-0.8205128205128205,-0.28205128205128205,-1.0,-0.2948717948717949,-0.3076923076923077,0.038461538461538464,-0.5769230769230769,-0.05128205128205128,-0.7692307692307693,-0.11538461538461539,-0.9487179487179487,-0.15384615384615385,-0.32051282051282054,0.19230769230769232,-0.5128205128205128,0.11538461538461539,-0.6410256410256411,0.05128205128205128,-0.7692307692307693,0.01282051282051282
13,0.0,0.0,-0.15942028985507245,-0.21739130434782608,-0.37681159420289856,-0.391304347826087,-0.5507246376811594,-0.5217391304347826,-0.6956521739130435,-0.6086956521739131,-0.4057971014492754,-0.21739130434782608,-0.6811594202898551,-0.2028985507246377,-0.855072463768116,-0.15942028985507245,-0.9855072463768116,-0.10144927536231885,-0.391304347826087,-0.043478260869565216,-0.6666666666666666,-0.028985507246376812,-0.855072463768116,0.0,-1.0,0.043478260869565216,-0.36231884057971014,0.11594202898550725,-0.6086956521739131,0.11594202898550725,-0.782608695652174,0.13043478260869565,-0.9130434782608695,0.14492753623188406,-0.3333333333333333,0.2608695652173913,-0.5217391304347826,0.2318840579710145,-0.6521739130434783,0.2318840579710145,-0.7681159420289855,0.2463768115942029
